Default Dataset,
X,Y
22.500731976736446,0.898255233633666
22.51111273772608,1.3646974274344874
22.524388133991668,2.961205232968232
22.52478739402973,2.9791453173451874
25.014073916341715,1.8310863865635678
25.055596960300242,3.696855161766859
25.08464312806931,4.001996300190314
25.050905654853004,4.486059170337641
27.576325210609667,2.9615778756704234
27.594691172360555,3.7868217570103404
27.591696722075085,5.65227112418318
27.5936930222654,5.741971546067954
30.085973994862854,2.7284632481134956
30.118713317984003,4.199550167023783
30.17101638297023,6.54970122040485
30.17580750342698,6.764982232928307
32.57865422749837,3.732895034535993
32.65151918444483,5.006960433330228
32.68236202238518,7.392831951449979
32.70781484981168,7.536512330480843
35.14479830713744,4.038302346318158
35.12064307483464,4.952927241512397
35.158073703403026,5.634810151851901
35.13860977654747,5.760231038475359
