"","param","conf_lower","conf_upper","method","estimate","species","trait"
"47","r_tref",0.046101427712775,0.084449253005257,"residual bootstrap",0.0616397022113361,"Tetranychus mcdanieli","juvenile development rate"
"48","e",0.530061873991742,0.81297219355581,"residual bootstrap",0.673151182420385,"Tetranychus mcdanieli","juvenile development rate"
"49","rmax",0.147324890295674,0.193466058476549,"residual bootstrap",0.169812693102613,"Tetranychus urticae","juvenile development rate"
"50","topt",28.6583029775125,33.4376332805129,"residual bootstrap",31.467,"Tetranychus urticae","juvenile development rate"
"51","ctmin",-25.2810544995738,2.22745093177754,"residual bootstrap",-7.264,"Tetranychus urticae","juvenile development rate"
"52","ctmax",36.6692635803935,47.2505069582746,"residual bootstrap",41.692,"Tetranychus urticae","juvenile development rate"
"53","thermal_safety_margin",2.92772589243551,17.5121786356767,"residual bootstrap",10.225,"Tetranychus urticae","juvenile development rate"
"54","thermal_tolerance",39.6563589130564,63.9697481362664,"residual bootstrap",48.956,"Tetranychus urticae","juvenile development rate"
"55","breadth",6.18338898024639,9.884,"residual bootstrap",7.786,"Tetranychus urticae","juvenile development rate"
"56","r_tref",0.0412230648919842,0.0783568038066862,"residual bootstrap",0.0565937327001289,"Tetranychus urticae","juvenile development rate"
"57","e",0.369510105773689,0.820140969412849,"residual bootstrap",0.563795456746148,"Tetranychus urticae","juvenile development rate"
"58","eh",3.09775464107786,20,"residual bootstrap",4.68332366365461,"Tetranychus urticae","juvenile development rate"
"59","rmax",0.119614009463635,0.14500368973515,"residual bootstrap",0.135924251310062,"Clavigralla tomentosicollis","juvenile development rate"
"60","topt",32.5121288327491,34.5451961233323,"residual bootstrap",33.642,"Clavigralla tomentosicollis","juvenile development rate"
"61","ctmin",-13.198407190449,-0.646102881255422,"residual bootstrap",-6.762,"Clavigralla tomentosicollis","juvenile development rate"
"62","ctmax",36.589920936493,40.3546912304177,"residual bootstrap",38.976,"Clavigralla tomentosicollis","juvenile development rate"
"63","thermal_safety_margin",2.72670053188086,7.38990819784923,"residual bootstrap",5.334,"Clavigralla tomentosicollis","juvenile development rate"
"64","thermal_tolerance",38.3314690596653,52.5881840399501,"residual bootstrap",45.738,"Clavigralla tomentosicollis","juvenile development rate"
"65","breadth",4.37632335148381,7.03995597005273,"residual bootstrap",6.096,"Clavigralla tomentosicollis","juvenile development rate"
"66","r_tref",0.0300254304976781,0.0434334687959157,"residual bootstrap",0.0390468633530323,"Clavigralla tomentosicollis","juvenile development rate"
"67","e",0.44427486956963,0.662524250430588,"residual bootstrap",0.53323434039631,"Clavigralla tomentosicollis","juvenile development rate"
"68","eh",6.8549387836986,20,"residual bootstrap",9.59790423180655,"Clavigralla tomentosicollis","juvenile development rate"
"69","rmax",0.0496671214546576,0.071772214845755,"residual bootstrap",0.0551629761940319,"Planococcus citri","juvenile development rate"
"70","topt",26.949318112083,28.646,"residual bootstrap",27.462,"Planococcus citri","juvenile development rate"
"71","ctmin",-1.2537775550795,5.10733919622181,"residual bootstrap",1.75,"Planococcus citri","juvenile development rate"
