curve_ID,species,standardisedtraitname,temp,bmax,bmaxLwr,bmaxUpr
10,Bemisia tabaci,bmax,0,0.9231513607692007,0.15450876668001323,3.2271816982368753
10,Bemisia tabaci,bmax,0.04504504504504504,0.9267665405151545,0.1555798376773513,3.231796111067558
10,Bemisia tabaci,bmax,0.09009009009009009,0.9303946788017062,0.15665797731698555,3.236415613600827
10,Bemisia tabaci,bmax,0.13513513513513514,0.9340358175853879,0.15774322984120426,3.2410402095467528
10,Bemisia tabaci,bmax,0.18018018018018017,0.9376899989431738,0.1588356397537106,3.2456699026162545
10,Bemisia tabaci,bmax,0.2252252252252252,0.9413572650728177,0.15993525182108292,3.250304696521149
10,Bemisia tabaci,bmax,0.2702702702702703,0.9450376582931046,0.16104211107421937,3.2549445949740914
10,Bemisia tabaci,bmax,0.3153153153153153,0.9487312210442069,0.1621562628098195,3.259589601688644
10,Bemisia tabaci,bmax,0.36036036036036034,0.9524379958879254,0.16327775259183988,3.264239720379201
10,Bemisia tabaci,bmax,0.4054054054054054,0.9561580255080399,0.1644066262529889,3.2688949547610484
10,Bemisia tabaci,bmax,0.4504504504504504,0.9598913527105754,0.16554292989620512,3.2735553085503244
10,Bemisia tabaci,bmax,0.4954954954954955,0.9636380204241348,0.16668670989616116,3.2782207854640495
10,Bemisia tabaci,bmax,0.5405405405405406,0.9673980717001615,0.16783801290075603,3.2828913892200817
10,Bemisia tabaci,bmax,0.5855855855855856,0.9711715497132921,0.16899857992315342,3.287567123537173
10,Bemisia tabaci,bmax,0.6306306306306306,0.9749584977616108,0.17016912859847433,3.2922479921349086
10,Bemisia tabaci,bmax,0.6756756756756757,0.9787589592669997,0.1713473960740166,3.2969339987337634
10,Bemisia tabaci,bmax,0.7207207207207207,0.9825729777754025,0.17253343062204088,3.3016251470550464
10,Bemisia tabaci,bmax,0.7657657657657657,0.9864005969571523,0.17372728079981295,3.3063214408209323
10,Bemisia tabaci,bmax,0.8108108108108107,0.99024186060729,0.17492899545118779,3.3110228837544713
10,Bemisia tabaci,bmax,0.8558558558558558,0.9940968126458339,0.1761386237081849,3.315729479579544
10,Bemisia tabaci,bmax,0.9009009009009008,0.9979654971181275,0.17735621499259813,3.3204412320209067
10,Bemisia tabaci,bmax,0.9459459459459459,1.0018479581951167,0.1785818190175896,3.325158144804158
10,Bemisia tabaci,bmax,0.990990990990991,1.0057442401736838,0.17981548578931078,3.3298802216557646
10,Bemisia tabaci,bmax,1.036036036036036,1.0096543874769288,0.1810572656085146,3.334607466303025
10,Bemisia tabaci,bmax,1.0810810810810811,1.013578444654514,0.18230720907219597,3.339339882474114
10,Bemisia tabaci,bmax,1.1261261261261262,1.0175164563829313,0.1835653670752155,3.3440774738980266
10,Bemisia tabaci,bmax,1.1711711711711712,1.0214684674658663,0.18483179081196233,3.3488202443046418
10,Bemisia tabaci,bmax,1.2162162162162162,1.0254345228344546,0.18610653177799213,3.3535681974246536
10,Bemisia tabaci,bmax,1.2612612612612613,1.0294146675476468,0.18738964177170617,3.3583213369896345
10,Bemisia tabaci,bmax,1.3063063063063063,1.0334089467924756,0.18868117289600866,3.363079666731978
10,Bemisia tabaci,bmax,1.3513513513513513,1.0374174058844023,0.1899811775599978,3.3678431903849355
10,Bemisia tabaci,bmax,1.3963963963963963,1.0414400902676124,0.19128970848064875,3.3726119116825983
10,Bemisia tabaci,bmax,1.4414414414414414,1.0454770455153495,0.19260681868451734,3.3773858343599095
10,Bemisia tabaci,bmax,1.4864864864864864,1.0495283173302044,0.1939325615094383,3.3821649621526406
10,Bemisia tabaci,bmax,1.5315315315315314,1.0535939515444497,0.19526699060624572,3.3882148423896674
10,Bemisia tabaci,bmax,1.5765765765765765,1.057673994120364,0.19661015994050035,3.394833059251649
10,Bemisia tabaci,bmax,1.6216216216216215,1.0617684911505234,0.19796212379421338,3.4014620369173265
10,Bemisia tabaci,bmax,1.6666666666666665,1.0658774888581517,0.1993229367675989,3.408101789006513
10,Bemisia tabaci,bmax,1.7117117117117115,1.0700010335974064,0.20069265378081397,3.4147523291504904
10,Bemisia tabaci,bmax,1.7567567567567566,1.0741391718537303,0.20207133007572875,3.4214136709920773
10,Bemisia tabaci,bmax,1.8018018018018016,1.0782919502441386,0.20345902121768447,3.428085828185571
10,Bemisia tabaci,bmax,1.8468468468468469,1.0824594155175729,0.20485578309728203,3.4347688143968003
10,Bemisia tabaci,bmax,1.8918918918918919,1.0866416145551945,0.2062616719321596,3.4414626433030895
10,Bemisia tabaci,bmax,1.936936936936937,1.0908385943707333,0.207676744268798,3.448167328593305
10,Bemisia tabaci,bmax,1.981981981981982,1.0950504021107768,0.20910105698431447,3.4548828839678003
10,Bemisia tabaci,bmax,2.0270270270270268,1.099277085055134,0.21053466728829046,3.461609323138484
10,Bemisia tabaci,bmax,2.072072072072072,1.1035186906171144,0.2119776327245805,3.468346659828755
10,Bemisia tabaci,bmax,2.117117117117117,1.1077752663438991,0.21343001117316127,3.475094907773574
10,Bemisia tabaci,bmax,2.1621621621621623,1.1120468599168327,0.21489186085196224,3.4818540807194176
10,Bemisia tabaci,bmax,2.2072072072072073,1.1163335191517567,0.21636324031872056,3.488624192424291
10,Bemisia tabaci,bmax,2.2522522522522523,1.1206352919993463,0.2178442084728454,3.495405256657747
10,Bemisia tabaci,bmax,2.2972972972972974,1.124952226545424,0.21933482455728462,3.50219728720087
10,Bemisia tabaci,bmax,2.3423423423423424,1.1292843710113094,0.22083514816041247,3.5090002978463097
