"","param","conf_lower","conf_upper","method","estimate","species","trait"
"48","e",1.55184054759413,3.57642008471322,"residual bootstrap",2.21862921551744,"Clavigralla tomentosicollis","fecundity rate"
"49","eh",4.52466796758283,5.60534649810442,"residual bootstrap",5.12342044987756,"Clavigralla tomentosicollis","fecundity rate"
"50","rmax",6.75193673913344,9.51074047862709,"residual bootstrap",8.05032383960695,"Planococcus citri","fecundity rate"
"51","topt",22.2488941663495,26.7381087010949,"residual bootstrap",23.755,"Planococcus citri","fecundity rate"
"52","ctmin",-24.062,10.0566466282529,"residual bootstrap",3.9,"Planococcus citri","fecundity rate"
"53","ctmax",33.5596423462475,47.7820290078397,"residual bootstrap",39.281,"Planococcus citri","fecundity rate"
"54","thermal_safety_margin",6.75900000000001,23.7810995935308,"residual bootstrap",15.526,"Planococcus citri","fecundity rate"
"55","thermal_tolerance",27.4895142673739,52.4565854302358,"residual bootstrap",35.381,"Planococcus citri","fecundity rate"
"56","breadth",5.3602596394866,9.335,"residual bootstrap",6.651,"Planococcus citri","fecundity rate"
"57","r_tref",1.87207980762973,4.21975271210985,"residual bootstrap",2.96892032339301,"Planococcus citri","fecundity rate"
"58","e",0.571053769116847,2.39559539173387,"residual bootstrap",1.23965009343957,"Planococcus citri","fecundity rate"
"59","eh",2.45433100115426,4.23405808170689,"residual bootstrap",3.2833957051761,"Planococcus citri","fecundity rate"
"60","rmax",13.2051182100416,15.3689475162451,"residual bootstrap",14.5989885287916,"Muscidifurax zaraptor","fecundity rate"
"61","topt",26.7017466559353,31.09608658001,"residual bootstrap",28.515,"Muscidifurax zaraptor","fecundity rate"
"62","ctmin",-34.956,-16.5811713353893,"residual bootstrap",-28.056,"Muscidifurax zaraptor","fecundity rate"
"63","ctmax",34.5143002442914,57.541544282186,"residual bootstrap",41.494,"Muscidifurax zaraptor","fecundity rate"
"64","thermal_safety_margin",3.0215647995842,30.6124133898356,"residual bootstrap",12.979,"Muscidifurax zaraptor","fecundity rate"
"65","thermal_tolerance",59.2788192922037,81.109,"residual bootstrap",69.55,"Muscidifurax zaraptor","fecundity rate"
"66","breadth",8.52467860437854,13.6361847908422,"residual bootstrap",10.941,"Muscidifurax zaraptor","fecundity rate"
"67","r_tref",7.23466543955746,9.30320436262139,"residual bootstrap",8.58760338308067,"Muscidifurax zaraptor","fecundity rate"
"68","e",0.237411183721685,0.873414643129968,"residual bootstrap",0.348885890005174,"Muscidifurax zaraptor","fecundity rate"
"69","eh",1.80168172991897,20,"residual bootstrap",3.71338703374143,"Muscidifurax zaraptor","fecundity rate"
"70","rmax",2.62165516179732,3.71591650544891,"residual bootstrap",2.98630296137408,"Aphis nasturtii","fecundity rate"
"71","topt",23.0884271112351,28.5312491671243,"residual bootstrap",26.134,"Aphis nasturtii","fecundity rate"
"72","ctmin",-19.6357050806533,7.26861769852576,"residual bootstrap",-2.725,"Aphis nasturtii","fecundity rate"
"73","ctmax",36.1214483394377,64.999766717682,"residual bootstrap",40.623,"Aphis nasturtii","fecundity rate"
"74","thermal_safety_margin",8.50101410067895,41.2794533049351,"residual bootstrap",14.489,"Aphis nasturtii","fecundity rate"
"75","thermal_tolerance",33.8474782089634,60.6606995470626,"residual bootstrap",43.348,"Aphis nasturtii","fecundity rate"
"76","breadth",6.10069697652824,10.4663551662704,"residual bootstrap",7.785,"Aphis nasturtii","fecundity rate"
"77","r_tref",0.85733722620945,1.73425923364413,"residual bootstrap",1.20610188237176,"Aphis nasturtii","fecundity rate"
"78","e",0.441795123971882,1.55261174935628,"residual bootstrap",0.791819896156099,"Aphis nasturtii","fecundity rate"
"79","eh",2.11373213078039,5.22855042724574,"residual bootstrap",3.24928840825319,"Aphis nasturtii","fecundity rate"
"80","rmax",2.99027548377549,4.34902386197157,"residual bootstrap",3.69308263579076,"Rhopalosiphum maidis","fecundity rate"
"81","topt",26.843,29.0260797080779,"residual bootstrap",28.456,"Rhopalosiphum maidis","fecundity rate"
"82","ctmin",-24.937,-0.89868865973644,"residual bootstrap",-5.677,"Rhopalosiphum maidis","fecundity rate"
"83","ctmax",31.4696232921205,36.75,"residual bootstrap",32.893,"Rhopalosiphum maidis","fecundity rate"
"84","thermal_safety_margin",2.60694867429771,9.691,"residual bootstrap",4.437,"Rhopalosiphum maidis","fecundity rate"
"85","thermal_tolerance",32.4894261774196,57.0452870687072,"residual bootstrap",38.57,"Rhopalosiphum maidis","fecundity rate"
"86","breadth",3.91786500697312,7.697,"residual bootstrap",5.118,"Rhopalosiphum maidis","fecundity rate"
"87","r_tref",1.03560264523261,1.51480324715181,"residual bootstrap",1.2756313941496,"Rhopalosiphum maidis","fecundity rate"
"88","e",0.457001070876691,0.81878515017382,"residual bootstrap",0.623961920823893,"Rhopalosiphum maidis","fecundity rate"
"89","eh",4.58403873894194,20,"residual bootstrap",11.11831073035,"Rhopalosiphum maidis","fecundity rate"
"90","rmax",9.02488721237457,11.2957026524329,"residual bootstrap",10.1321957371636,"Aedes aegypti","fecundity rate"
"91","topt",32.0663804831191,32.9767663769109,"residual bootstrap",32.365,"Aedes aegypti","fecundity rate"
"92","ctmin",-2.22114259941017,11.9118654256056,"residual bootstrap",5.329,"Aedes aegypti","fecundity rate"
"93","ctmax",34.7114466732314,35.6456407429887,"residual bootstrap",34.968,"Aedes aegypti","fecundity rate"
"94","thermal_safety_margin",2.50864786321694,2.69336820076929,"residual bootstrap",2.60300000000001,"Aedes aegypti","fecundity rate"
"95","thermal_tolerance",22.7202432067109,37.2337677110487,"residual bootstrap",29.639,"Aedes aegypti","fecundity rate"
"96","breadth",2.84824758354644,4.33033426084867,"residual bootstrap",3.544,"Aedes aegypti","fecundity rate"
"97","r_tref",0.950251772982678,2.43882879485724,"residual bootstrap",1.59910473543573,"Aedes aegypti","fecundity rate"
"98","e",0.61342953187237,1.09386199552753,"residual bootstrap",0.825239803374012,"Aedes aegypti","fecundity rate"
"99","rmax",1.03810527445899,1.95004579264645,"residual bootstrap",1.43985273847522,"Anoplophora glabripennis","fecundity rate"
"100","topt",26.134,28.840314367561,"residual bootstrap",27.929,"Anoplophora glabripennis","fecundity rate"
"101","ctmin",-11.288,8.03749560549791,"residual bootstrap",1.552,"Anoplophora glabripennis","fecundity rate"
"102","ctmax",31.2502182076941,38.452,"residual bootstrap",33.772,"Anoplophora glabripennis","fecundity rate"
"103","thermal_safety_margin",2.496,11.626,"residual bootstrap",5.843,"Anoplophora glabripennis","fecundity rate"
"104","thermal_tolerance",24.8446928196126,44.563,"residual bootstrap",32.22,"Anoplophora glabripennis","fecundity rate"
"105","breadth",3.17530289705399,6.831,"residual bootstrap",4.769,"Anoplophora glabripennis","fecundity rate"
"106","r_tref",0.28039232660882,0.526079670092539,"residual bootstrap",0.376789787966649,"Anoplophora glabripennis","fecundity rate"
"107","e",0.557117969407321,1.15692863722746,"residual bootstrap",0.839918438738267,"Anoplophora glabripennis","fecundity rate"
"108","eh",3.47080607621027,20,"residual bootstrap",7.95801961847275,"Anoplophora glabripennis","fecundity rate"
"109","rmax",2.41429771861191,3.16727649093262,"residual bootstrap",2.73573853497389,"Amblyseius womersleyi","fecundity rate"
"110","topt",32.4661608584544,34.5278663885514,"residual bootstrap",33.501,"Amblyseius womersleyi","fecundity rate"
"111","ctmin",1.79188269601995,16.155939474208,"residual bootstrap",10.747,"Amblyseius womersleyi","fecundity rate"
"112","ctmax",37.2926602370086,43.3326379392868,"residual bootstrap",39.942,"Amblyseius womersleyi","fecundity rate"
"113","thermal_safety_margin",2.78707279854311,10.3931099426339,"residual bootstrap",6.441,"Amblyseius womersleyi","fecundity rate"
"114","thermal_tolerance",24.3035433871896,39.9179790096428,"residual bootstrap",29.195,"Amblyseius womersleyi","fecundity rate"
"115","breadth",3.40152098395899,5.71797592903499,"residual bootstrap",4.712,"Amblyseius womersleyi","fecundity rate"
"116","r_tref",0.106607703513143,0.476960078897393,"residual bootstrap",0.253490601954315,"Amblyseius womersleyi","fecundity rate"
"117","e",0.748739698763148,1.66890934162073,"residual bootstrap",1.0418094330666,"Amblyseius womersleyi","fecundity rate"
"118","eh",4.94924444947625,15.2767665967896,"residual bootstrap",7.40112922866594,"Amblyseius womersleyi","fecundity rate"
"119","rmax",1.28050608889298,1.31152907669817,"residual bootstrap",1.29630889323826,"Trichogramma sp. nr. Lutea","fecundity rate"
"120","topt",29.4248552316015,29.7728641880834,"residual bootstrap",29.602,"Trichogramma sp. nr. Lutea","fecundity rate"
"121","ctmin",16.73581831714,17.575,"residual bootstrap",17.193,"Trichogramma sp. nr. Lutea","fecundity rate"
"122","ctmax",42.963255295835,44.2213397363784,"residual bootstrap",43.63,"Trichogramma sp. nr. Lutea","fecundity rate"
"123","thermal_safety_margin",13.2044480704373,14.7065526584535,"residual bootstrap",14.028,"Trichogramma sp. nr. Lutea","fecundity rate"
"124","thermal_tolerance",26.0398679400916,26.9598490913101,"residual bootstrap",26.437,"Trichogramma sp. nr. Lutea","fecundity rate"
"125","breadth",4.92436247139776,5.11278423859058,"residual bootstrap",5.015,"Trichogramma sp. nr. Lutea","fecundity rate"
"126","r_tref",0.0271754832203002,0.038753673681215,"residual bootstrap",0.0323111760263819,"Trichogramma sp. nr. Lutea","fecundity rate"
"127","e",2.11267719588964,2.41185814016442,"residual bootstrap",2.27096209350261,"Trichogramma sp. nr. Lutea","fecundity rate"
"128","eh",4.36553005287677,4.52134809512346,"residual bootstrap",4.43409214209736,"Trichogramma sp. nr. Lutea","fecundity rate"
"129","rmax",1.72090727311328,2.97169404132383,"residual bootstrap",2.64587721230145,"Trichogramma bruni","fecundity rate"
"130","topt",29.29,32.5805973728805,"residual bootstrap",32.151,"Trichogramma bruni","fecundity rate"
"131","ctmin",16.8768845399622,21.113,"residual bootstrap",18.823,"Trichogramma bruni","fecundity rate"
"132","ctmax",31.582,35.0019246408469,"residual bootstrap",34.548,"Trichogramma bruni","fecundity rate"
"133","thermal_safety_margin",2.292,2.434,"residual bootstrap",2.39700000000001,"Trichogramma bruni","fecundity rate"
"134","thermal_tolerance",10.469,17.2166088201355,"residual bootstrap",15.725,"Trichogramma bruni","fecundity rate"
"135","breadth",1.721,2.40767126708706,"residual bootstrap",2.178,"Trichogramma bruni","fecundity rate"
"136","r_tref",0.00915841894254782,0.0777119587792944,"residual bootstrap",0.0513765455400896,"Trichogramma bruni","fecundity rate"
"137","e",1.57346704386996,3.18265241970093,"residual bootstrap",1.78405983090045,"Trichogramma bruni","fecundity rate"
"138","rmax",9.39298259126931,10.1350793194306,"residual bootstrap",9.72335479498116,"Drosophila suzukii","fecundity rate"
"139","topt",19.2437968391272,19.4307157536092,"residual bootstrap",19.345,"Drosophila suzukii","fecundity rate"
"140","ctmin",13.0778807350773,13.9433447709305,"residual bootstrap",13.519,"Drosophila suzukii","fecundity rate"
"141","ctmax",29.4627532595474,30.7736409350124,"residual bootstrap",30.223,"Drosophila suzukii","fecundity rate"
"142","thermal_safety_margin",10.048942098015,11.4227872258959,"residual bootstrap",10.878,"Drosophila suzukii","fecundity rate"
"143","thermal_tolerance",15.5247872989667,17.475214876817,"residual bootstrap",16.704,"Drosophila suzukii","fecundity rate"
"144","breadth",2.83802207014335,3.18145570463409,"residual bootstrap",3.04,"Drosophila suzukii","fecundity rate"
"145","r_tref",1.14980677249426,1.68634803144959,"residual bootstrap",1.40804332200711,"Drosophila suzukii","fecundity rate"
"146","e",4.65964187667584,5.74889038248395,"residual bootstrap",5.15735143990332,"Drosophila suzukii","fecundity rate"
"147","eh",7.06383898590769,8.0872386523429,"residual bootstrap",7.54071688955917,"Drosophila suzukii","fecundity rate"
"148","rmax",6.00514104541426,11.7231375229743,"residual bootstrap",7.28701843341458,"Anthonomus grandis","fecundity rate"
"149","topt",27.236920217154,28.9176489653657,"residual bootstrap",28.004,"Anthonomus grandis","fecundity rate"
"150","ctmin",1.922,13.4672514593459,"residual bootstrap",9.792,"Anthonomus grandis","fecundity rate"
"151","ctmax",31.238088632794,41.077,"residual bootstrap",34.923,"Anthonomus grandis","fecundity rate"
"152","thermal_safety_margin",2.389,13.427931952628,"residual bootstrap",6.919,"Anthonomus grandis","fecundity rate"
"153","thermal_tolerance",19.5933555211627,34.678,"residual bootstrap",25.131,"Anthonomus grandis","fecundity rate"
"154","breadth",2.4325939825473,5.936,"residual bootstrap",4.23,"Anthonomus grandis","fecundity rate"
"155","r_tref",0.607333974568011,1.91077997598091,"residual bootstrap",0.951813256249336,"Anthonomus grandis","fecundity rate"
"156","e",0.772117312265352,1.69451140309718,"residual bootstrap",1.295986864691,"Anthonomus grandis","fecundity rate"
"157","eh",3.89168798225716,20,"residual bootstrap",6.63063921481175,"Anthonomus grandis","fecundity rate"
"158","rmax",1.93348089913533,2.12814826405405,"residual bootstrap",2.04033436723718,"Iphiseius degenerans","fecundity rate"
"159","topt",24.5969426204476,26.483,"residual bootstrap",25.403,"Iphiseius degenerans","fecundity rate"
"160","ctmin",-2.92323949430376,6.46884098010884,"residual bootstrap",2.486,"Iphiseius degenerans","fecundity rate"
