"","param","conf_lower","conf_upper","method","estimate","species","trait"
"48","e",0.475062856436546,1.43160342619763,"residual bootstrap",0.838587400218349,"Tetranychus mcdanieli","fecundity rate"
"49","eh",2.61436687771481,10.9487645534177,"residual bootstrap",4.57431025764955,"Tetranychus mcdanieli","fecundity rate"
"50","rmax",2.62432658380614,4.37951423848099,"residual bootstrap",3.34694078021109,"Tetranychus urticae","fecundity rate"
"51","topt",18.0087123094026,33,"residual bootstrap",23.038,"Tetranychus urticae","fecundity rate"
"52","ctmin",-25.2344605340614,13.7684867247291,"residual bootstrap",7.504,"Tetranychus urticae","fecundity rate"
"53","ctmax",75.1426464761587,81.693,"residual bootstrap",77.292,"Tetranychus urticae","fecundity rate"
"54","thermal_safety_margin",45.6179119722416,62.115,"residual bootstrap",54.254,"Tetranychus urticae","fecundity rate"
"55","thermal_tolerance",69.457262613596,78.405,"residual bootstrap",69.788,"Tetranychus urticae","fecundity rate"
"56","breadth",6.1717823489594,18,"residual bootstrap",10.217,"Tetranychus urticae","fecundity rate"
"57","r_tref",0.479034377665344,4.311403509,"residual bootstrap",1.65153789216242,"Tetranychus urticae","fecundity rate"
"58","e",0.26171734266983,10,"residual bootstrap",2.11741955249099,"Tetranychus urticae","fecundity rate"
"59","eh",0.69401877594478,7.94123213623277,"residual bootstrap",2.64836489926356,"Tetranychus urticae","fecundity rate"
"60","rmax",6.68691276057511,9.34436669287546,"residual bootstrap",8.05032382026497,"Planococcus citri","fecundity rate"
"61","topt",22.3010082857969,26.8818192110559,"residual bootstrap",23.755,"Planococcus citri","fecundity rate"
"62","ctmin",-10.5266674759188,10.9816474311618,"residual bootstrap",3.9,"Planococcus citri","fecundity rate"
"63","ctmax",34.443880841178,50.4447428205665,"residual bootstrap",39.281,"Planococcus citri","fecundity rate"
"64","thermal_safety_margin",7.92443380707091,26.8231266341045,"residual bootstrap",15.526,"Planococcus citri","fecundity rate"
"65","thermal_tolerance",27.0621436226795,48.6991779657419,"residual bootstrap",35.381,"Planococcus citri","fecundity rate"
"66","breadth",5.42538010568329,9.28183562380302,"residual bootstrap",6.651,"Planococcus citri","fecundity rate"
"67","r_tref",1.82976471251083,4.1097859246933,"residual bootstrap",2.96892034116004,"Planococcus citri","fecundity rate"
"68","e",0.554793414737943,2.47002574440108,"residual bootstrap",1.23965006057111,"Planococcus citri","fecundity rate"
"69","eh",2.45096047094755,4.23170157264041,"residual bootstrap",3.28339570860091,"Planococcus citri","fecundity rate"
"70","rmax",13.2224097204243,15.3836443831473,"residual bootstrap",14.5989885225097,"Muscidifurax zaraptor","fecundity rate"
"71","topt",26.6289154383547,31.2861603766937,"residual bootstrap",28.515,"Muscidifurax zaraptor","fecundity rate"
"72","ctmin",-34.966,-17.763529561795,"residual bootstrap",-28.056,"Muscidifurax zaraptor","fecundity rate"
"73","ctmax",35.798,57.9184078379511,"residual bootstrap",41.494,"Muscidifurax zaraptor","fecundity rate"
"74","thermal_safety_margin",4.80749563228455,30.9045968529664,"residual bootstrap",12.979,"Muscidifurax zaraptor","fecundity rate"
"75","thermal_tolerance",58.1009592695982,79.455025744242,"residual bootstrap",69.55,"Muscidifurax zaraptor","fecundity rate"
"76","breadth",8.63846750678065,14.1431230023523,"residual bootstrap",10.941,"Muscidifurax zaraptor","fecundity rate"
"77","r_tref",7.22048994889549,9.30161749316839,"residual bootstrap",8.58760341666362,"Muscidifurax zaraptor","fecundity rate"
"78","e",0.225342968944692,0.604890041937857,"residual bootstrap",0.34888588413749,"Muscidifurax zaraptor","fecundity rate"
"79","eh",1.91389982758783,20,"residual bootstrap",3.71338711593171,"Muscidifurax zaraptor","fecundity rate"
"80","rmax",2.58972014177957,3.51036572279724,"residual bootstrap",2.98630295752617,"Aphis nasturtii","fecundity rate"
"81","topt",24.0580528743215,29.0913097048614,"residual bootstrap",26.134,"Aphis nasturtii","fecundity rate"
"82","ctmin",-32.651,5.2964777903841,"residual bootstrap",-2.725,"Aphis nasturtii","fecundity rate"
"83","ctmax",35.7016877185494,53.249225551442,"residual bootstrap",40.623,"Aphis nasturtii","fecundity rate"
"84","thermal_safety_margin",7.56239491677132,28.5046902429339,"residual bootstrap",14.489,"Aphis nasturtii","fecundity rate"
"85","thermal_tolerance",34.2180428364381,59.31545248151,"residual bootstrap",43.348,"Aphis nasturtii","fecundity rate"
"86","breadth",6.27565398890635,10.4426285998045,"residual bootstrap",7.785,"Aphis nasturtii","fecundity rate"
"87","r_tref",0.859909022812078,1.74689725129425,"residual bootstrap",1.20610188861484,"Aphis nasturtii","fecundity rate"
"88","e",0.455021292909403,1.58154803357442,"residual bootstrap",0.791819891411975,"Aphis nasturtii","fecundity rate"
"89","eh",2.21198092695053,5.72974854978597,"residual bootstrap",3.24928839893403,"Aphis nasturtii","fecundity rate"
"90","rmax",2.76812470081734,4.32760460427473,"residual bootstrap",3.693082636109,"Rhopalosiphum maidis","fecundity rate"
"91","topt",27.366,28.912,"residual bootstrap",28.456,"Rhopalosiphum maidis","fecundity rate"
"92","ctmin",-20.999,0.092482560165547,"residual bootstrap",-5.677,"Rhopalosiphum maidis","fecundity rate"
"93","ctmax",31.4948759751072,36.76,"residual bootstrap",32.893,"Rhopalosiphum maidis","fecundity rate"
"94","thermal_safety_margin",2.61763551968651,9.184,"residual bootstrap",4.437,"Rhopalosiphum maidis","fecundity rate"
"95","thermal_tolerance",31.8333272001543,56.991,"residual bootstrap",38.57,"Rhopalosiphum maidis","fecundity rate"
"96","breadth",4.00515287682485,7.888,"residual bootstrap",5.118,"Rhopalosiphum maidis","fecundity rate"
"97","r_tref",1.05522324260767,1.53653771750554,"residual bootstrap",1.27563139661316,"Rhopalosiphum maidis","fecundity rate"
"98","e",0.457048823879104,0.81529702155197,"residual bootstrap",0.623961918482444,"Rhopalosiphum maidis","fecundity rate"
"99","eh",4.54768688867505,20,"residual bootstrap",11.1183109027554,"Rhopalosiphum maidis","fecundity rate"
"100","rmax",5.92262725356144,10.2183045643291,"residual bootstrap",8.0298274777268,"Aedes aegypti","fecundity rate"
"101","topt",27.524135335248,31.7660741301886,"residual bootstrap",29.888,"Aedes aegypti","fecundity rate"
"102","ctmin",-9.97150735591293,15.5914395157761,"residual bootstrap",8.868,"Aedes aegypti","fecundity rate"
"103","ctmax",34.9711096078502,59.109033534359,"residual bootstrap",40.145,"Aedes aegypti","fecundity rate"
"104","thermal_safety_margin",3.88910430196075,30.6245268548755,"residual bootstrap",10.257,"Aedes aegypti","fecundity rate"
"105","thermal_tolerance",22.5882542247292,48.3963432907539,"residual bootstrap",31.277,"Aedes aegypti","fecundity rate"
"106","breadth",3.83413117977463,9.37541915382783,"residual bootstrap",5.596,"Aedes aegypti","fecundity rate"
"107","r_tref",0.258212152865803,2.37032980309141,"residual bootstrap",1.09526972935279,"Aedes aegypti","fecundity rate"
"108","e",0.596388284699541,2.695313830145,"residual bootstrap",1.15088126871552,"Aedes aegypti","fecundity rate"
"109","eh",2.6984887693671,9.82797764496096,"residual bootstrap",4.65160770315682,"Aedes aegypti","fecundity rate"
"110","rmax",5.70755330898131,10.1974568616411,"residual bootstrap",7.28701843475978,"Anthonomus grandis","fecundity rate"
"111","topt",27.2336528439869,28.8798587907499,"residual bootstrap",28.004,"Anthonomus grandis","fecundity rate"
"112","ctmin",1.537,13.3277230706915,"residual bootstrap",9.792,"Anthonomus grandis","fecundity rate"
"113","ctmax",31.3965011674326,41.025,"residual bootstrap",34.923,"Anthonomus grandis","fecundity rate"
"114","thermal_safety_margin",2.438,13.523,"residual bootstrap",6.919,"Anthonomus grandis","fecundity rate"
"115","thermal_tolerance",20.0669676684356,36.128,"residual bootstrap",25.131,"Anthonomus grandis","fecundity rate"
"116","breadth",2.74257679582984,6.143,"residual bootstrap",4.23,"Anthonomus grandis","fecundity rate"
"117","r_tref",0.625598291014993,1.91538466515986,"residual bootstrap",0.951813239957632,"Anthonomus grandis","fecundity rate"
"118","e",0.779396040707311,1.68037718566692,"residual bootstrap",1.29598687870847,"Anthonomus grandis","fecundity rate"
"119","eh",3.89011544364163,20,"residual bootstrap",6.63063914846862,"Anthonomus grandis","fecundity rate"
