"","param","conf_lower","conf_upper","method","estimate","species","trait"
"52","topt",12.7404250392735,15.5048155309875,"residual bootstrap",12.715,"Planococcus citri","juvenile mortality rate"
"53","ctmin",4.07483770124453,11.5338155309875,"residual bootstrap",11.53,"Planococcus citri","juvenile mortality rate"
"54","ctmax",37.1906183763887,53.7593128367764,"residual bootstrap",44.268,"Planococcus citri","juvenile mortality rate"
"55","thermal_safety_margin",21.7058243990903,40.8643128367764,"residual bootstrap",31.553,"Planococcus citri","juvenile mortality rate"
"56","thermal_tolerance",27.8640950828593,42.469564183882,"residual bootstrap",32.738,"Planococcus citri","juvenile mortality rate"
"57","breadth",2.67930205993183,5.99038510329178,"residual bootstrap",2.928,"Planococcus citri","juvenile mortality rate"
"58","r_tref",310.652105316233,469.395798460205,"residual bootstrap",338.654209766027,"Planococcus citri","juvenile mortality rate"
"59","e",-1.03724491303879,-0.610217615203078,"residual bootstrap",-0.750969968828798,"Planococcus citri","juvenile mortality rate"
"60","eh",-35.9729624283807,-4.23039201818261,"residual bootstrap",-42.1636513470571,"Planococcus citri","juvenile mortality rate"
"61","rmax",420.063676787286,502.490331794259,"residual bootstrap",467.512479244339,"Muscidifurax zaraptor","juvenile mortality rate"
"62","topt",25.5180925308083,27.2316195822655,"residual bootstrap",26.397,"Muscidifurax zaraptor","juvenile mortality rate"
"63","ctmin",-7.72299939363498,2.9836175382772,"residual bootstrap",-2.512,"Muscidifurax zaraptor","juvenile mortality rate"
"64","ctmax",32.691,35.2200012554401,"residual bootstrap",34.17,"Muscidifurax zaraptor","juvenile mortality rate"
"65","thermal_safety_margin",5.402,9.243041253277,"residual bootstrap",7.773,"Muscidifurax zaraptor","juvenile mortality rate"
"66","thermal_tolerance",32.1396223068267,42.1319038840172,"residual bootstrap",36.682,"Muscidifurax zaraptor","juvenile mortality rate"
"67","breadth",4.80854632869792,6.36656497947823,"residual bootstrap",5.804,"Muscidifurax zaraptor","juvenile mortality rate"
