bmax,bmaxLwr,bmaxUpr,species,curve_ID,T_pk,T_pkLwr,T_pkUpr,mass
13.0016835999508,9.05863134586626,17.7457056697095,Bemisia tabaci,10,34.721,34.3901730250044,35.8939038833649,0.29312499999999997
3.07918338557404,2.51663980701413,3.65903915401105,Tetraneura nigriabdominalis,11,28.832,27.934,29.0980618828957,0.8673
7.11410805989007,6.28893658888137,9.10793738180333,Stethorus punctillum,12,30.131,28.229669753969,30.914,0.48
10.164576444632,8.95353752351883,11.7708827040005,Tetranychus mcdanieli,13,29.271,27.4418477931524,30.9975669591103,0.024300000000000002
7.03362437232924,6.34886667865254,7.56231300941777,Clavigralla tomentosicollis,15,29.45,28.5844130527722,30.6215432996606,50.495000000000005
8.05032383960695,6.8953610056357,9.63292913793618,Planococcus citri,16,23.755,22.473200462682,28.264,1.89
14.5989885287916,13.2000406372519,15.3504991738356,Muscidifurax zaraptor,17,28.515,26.8253435814157,31.5513474927232,0.895
2.98630296137408,2.59447855920173,3.48421988652998,Aphis nasturtii,18,26.134,23.7209282782915,28.6710659129113,0.8673
3.69308263579076,2.99032812025817,4.57600410934269,Rhopalosiphum maidis,19,28.456,27.313,28.9394634339718,0.2995714285714286
10.1321957371636,8.76119695304077,11.383175566052,Aedes aegypti,2,32.365,32.0058905667717,32.9999447142521,1.9991666666666665
1.43985273847522,1.104203688189,1.9392976057461,Anoplophora glabripennis,21,27.929,25.746,28.788112181904,159.8
2.73573853497389,2.42783452453205,3.08657686286329,Amblyseius womersleyi,22,33.501,32.6300978017414,34.3412442640247,0.00506
1.29630889323826,1.28331149764526,1.31657315277379,Trichogramma sp. nr. Lutea,23,29.602,29.447,29.7920723629896,0.331167664
2.64587721230145,1.70951460477487,2.95956182314747,Trichogramma bruni,24,32.151,29.406,32.574,0.331167664
9.72335479498116,9.29086923951584,10.1054320817055,Drosophila suzukii,28,19.345,19.261,19.4487169536374,1.0687979533333334
7.2870184334145804,5.96430471296498,11.1593557859003,Anthonomus grandis,3,28.004,26.7296654441192,28.9420634959152,15.6
2.04033436723718,1.91698787188403,2.1095464017483,Iphiseius degenerans,32,25.403,24.5577988344428,26.4282408805355,0.0244
17.8381118887019,17.3194958262293,18.357543656197,Tetranychus evansi,36,34.668,34.64,34.693,0.024300000000000002
49.4958991421776,44.2957778320172,54.5573183408549,Helicoverpa armigera,37,26.386,25.0252248107775,27.5085555577946,155.6976923076923
2.11338692831,2.09318134848084,2.16187532171941,Antestiopsis thunbergii,38,21.923,21.8518468554467,21.976,30
0.751680400676057,0.644456460112558,0.911406595545264,Monochamus leuconotus,39,23.915,21.9302472112567,26.0760925281239,540
26.7572304960596,24.0309416883262,31.4907862598396,Paracoccus marginatus,4,24.563,23.4093945463583,28.238207329231,3.365
0.709608727867827,0.691804154660649,0.730495824058289,Kampimodromus aberrans,40,27.653,27.3975250958754,27.884917365557,0.0091
12.4816700977239,10.6301188431917,14.766028140149,Phenacoccus solenopsis,41,29.112,27.6525711029511,30.3181186658073,2.028
7.57969400102064,5.90165293549167,9.75195530641109,Halyomorpha halys,43,27.185,25.1655076578396,29.409841087922,158.81
18.4198583282099,17.5001718412858,19.1639626494159,Muscidifurax raptorellus,44,26.59,25.8818773835643,27.2068233459472,0.65
4.43214081889103,4.08872211494328,5.01404391259999,Thrips hawaiiensis,45,22.922,21.7322763591123,24.179285193642,0.04
2.92578558544411,2.89833645827226,2.96323585881611,Hylobius transversovittatus,46,25.12,24.9971565460738,25.3744416120903,91.855
32.2146605922448,27.9203409017304,40.609178372675,Callosobruchus maculatus,47,34.007,33.7600331219831,35.0352071704352,5.85
47.8518365281314,28.5139488418216,73.9280812381993,Callosobruchus chinensis,48,33.834,33.5466776367893,35.471,5.3
15.7476057228647,9.97956503874581,26.7063102819135,Callosobruchus analis,49,33.885,33.578903412094,35.5110900472029,5.8
7.23911778179189,6.92126900398664,7.84865889617204,Acyrthosiphon pisum,5,23.17,22.508739513943,24.101539544069,2.365
25.4212865269612,22.9779957538816,31.1362313700075,Callosobruchus rhodesianus,50,33.968,33.7883723833799,34.9804203377294,4.5
8.59851870618058,8.27039876480255,8.88027247027343,Sepedon spinipes,51,21.069,20.6048163847214,21.5382387125014,11.7
28.0593815427995,21.8167818088729,41.8787741759813,Plutella xylostella,52,33.237,29.1428703251261,35.719,3.0575
3.30179406328235,2.93328909033578,3.94459508710431,Aphis gossypii,6,26.891,24.5243697476444,29.0672567862816,0.6633333333333333
20.1183486081139,15.2591326873113,29.6328572562837,Aedes krombeini,9,28.454,26.287,28.8439192675952,2.202857142857143
