Default Dataset,
X,Y
9.881913959613698,-0.0005970149253731183
10.411764705882355,0
14.658472344161545,0.015522388059701492
14.89025460930641,0.010746268656716407
14.78270412642669,0.024477611940298516
19.161984196663738,0.06029850746268656
19.045654082528532,0.06208955223880597
18.872256365232662,0.0662686567164179
26.602721685689197,0.09970149253731342
26.90342405618964,0.10865671641791042
26.91220368744513,0.12059701492537314
31.746268656716413,0.13492537313432834
30.940298507462682,0.15880597014925374
35.08516242317823,0.19582089552238807
36.76470588235294,0.15999999999999998
36.6198419666374,0.12298507462686567
40,0
40.234855136084285,-0.0005970149253731183
40.64661984196664,-0.0005970149253731183
