Default Dataset,
X,Y
11.753303964757709,2.6578073089701775
12.784140969162994,2.6578073089701775
14.79295154185022,56.47840531561451
15.797356828193832,144.18604651162786
16.11453744493392,2.6578073089701775
16.881057268722465,142.1926910299003
17.83259911894273,311.62790697674416
18.14977973568282,40.5315614617939
18.837004405286343,845.8471760797343
19.12775330396476,209.96677740863788
19.814977973568283,403.32225913621255
20.105726872246695,369.43521594684375
20.819383259911895,235.88039867109637
21.083700440528634,437.20930232558135
21.823788546255507,508.9700996677741
22.140969162995596,421.26245847176074
22.82819383259912,325.5813953488372
23.145374449339208,343.5215946843854
23.859030837004404,116.2790697674418
24.14977973568282,612.624584717608
24.863436123348016,166.1129568106312
25.101321585903086,287.7076411960131
25.86784140969163,104.31893687707634
26.158590308370044,417.2757475083057
26.898678414096914,38.53820598006655
27.162995594713657,317.6079734219269
27.876651982378853,32.558139534883594
28.140969162995596,18.604651162790788
29.145374449339208,28.57142857142867
31.180616740088105,28.57142857142867
32.13215859030837,0.6644518272423738
33.16299559471366,2.6578073089701775
