,temp,species,estimate,rmax_upr,rmax_lwr,ksmallestimate,ksmallrmax_upr,ksmallrmax_lwr
1,16.31313131,Tetraneura nigriabdominalis,0,0.047176544,-0.052530079,0,0.04733921,-0.045118438
2,16.56565657,Tetraneura nigriabdominalis,-0.003995935,0.050575459,-0.035196075,0.000642665,0.050498152,-0.028891603
3,16.81818182,Tetraneura nigriabdominalis,0.006885431,0.05382544,-0.020189585,0.010658224,0.053520433,-0.014753526
4,17.07070707,Tetraneura nigriabdominalis,0.016506575,0.056937142,-0.007171663,0.01952444,0.056419967,-0.002438416
5,17.32323232,Tetraneura nigriabdominalis,0.025054249,0.059945827,0.004271827,0.027411634,0.059210923,0.008216103
6,17.57575758,Tetraneura nigriabdominalis,0.032688214,0.062851305,0.014434544,0.034465554,0.061904625,0.017531518
7,17.82828283,Tetraneura nigriabdominalis,0.03954517,0.065658824,0.023424648,0.040810953,0.064549037,0.025770618
8,18.08080808,Tetraneura nigriabdominalis,0.04574211,0.068404417,0.031334685,0.046554636,0.067140647,0.033218896
9,18.33333333,Tetraneura nigriabdominalis,0.051379179,0.071077218,0.038295385,0.051788063,0.069683816,0.039949204
10,18.58585859,Tetraneura nigriabdominalis,0.05654212,0.073722276,0.044572503,0.056589573,0.072221091,0.046058845
11,18.83838384,Tetraneura nigriabdominalis,0.06130435,0.076353442,0.050273014,0.061026273,0.074685954,0.051583655
12,19.09090909,Tetraneura nigriabdominalis,0.065728744,0.078926088,0.055559131,0.06515566,0.077101339,0.056616091
13,19.34343434,Tetraneura nigriabdominalis,0.06986915,0.081468373,0.060485896,0.069027003,0.079519675,0.061192015
14,19.5959596,Tetraneura nigriabdominalis,0.073771685,0.084003809,0.065066111,0.07268252,0.081904656,0.065455121
15,19.84848485,Tetraneura nigriabdominalis,0.07747584,0.086555356,0.069362936,0.076158389,0.084293316,0.069511807
16,20.1010101,Tetraneura nigriabdominalis,0.081015427,0.089099489,0.073396676,0.079485602,0.086693036,0.073216559
