"","temp","species","estimate","rmax_upr","rmax_lwr"
"1",16.3131313131313,"Tetraneura nigriabdominalis",0,0.0471765443934238,-0.0525300785677861
"2",16.5656565656566,"Tetraneura nigriabdominalis",-0.00399593513756153,0.0505754587058368,-0.035196075383981
"3",16.8181818181818,"Tetraneura nigriabdominalis",0.00688543142081297,0.0538254401531012,-0.0201895849202488
"4",17.0707070707071,"Tetraneura nigriabdominalis",0.0165065750192934,0.0569371424592015,-0.00717166315621402
"5",17.3232323232323,"Tetraneura nigriabdominalis",0.02505424890997,0.0599458267669409,0.00427182659882348
"6",17.5757575757576,"Tetraneura nigriabdominalis",0.0326882138595761,0.0628513045401814,0.0144345443218086
"7",17.8282828282828,"Tetraneura nigriabdominalis",0.0395451698402594,0.0656588243127025,0.0234246478520144
"8",18.0808080808081,"Tetraneura nigriabdominalis",0.0457421095427802,0.0684044170511508,0.0313346847026404
"9",18.3333333333333,"Tetraneura nigriabdominalis",0.0513791792550466,0.0710772180081773,0.0382953845193071
"10",18.5858585858586,"Tetraneura nigriabdominalis",0.0565421198922686,0.0737222760955004,0.0445725027153032
"11",18.8383838383838,"Tetraneura nigriabdominalis",0.0613043501240896,0.0763534423591577,0.0502730141363248
"12",19.0909090909091,"Tetraneura nigriabdominalis",0.0657287443289647,0.0789260879195482,0.0555591314069794
"13",19.3434343434343,"Tetraneura nigriabdominalis",0.0698691502711729,0.0814683728684499,0.0604858956591406
"14",19.5959595959596,"Tetraneura nigriabdominalis",0.0737716847331204,0.0840038094344578,0.0650661106650325
"15",19.8484848484849,"Tetraneura nigriabdominalis",0.077475839668126,0.0865553562454852,0.0693629359335703
"16",20.1010101010101,"Tetraneura nigriabdominalis",0.0810154266171235,0.0890994885483952,0.0733966763892056
"17",20.3535353535354,"Tetraneura nigriabdominalis",0.0844193830293329,0.0917194540487118,0.0772693051817762
"18",20.6060606060606,"Tetraneura nigriabdominalis",0.0877124606340478,0.0943048956434299,0.080895220124323
"19",20.8585858585859,"Tetraneura nigriabdominalis",0.0909158130366031,0.097008058328765,0.0844679967015771
"20",21.1111111111111,"Tetraneura nigriabdominalis",0.0940474971782861,0.0996944606088662,0.0879075899572658
"21",21.3636363636364,"Tetraneura nigriabdominalis",0.0971229011410965,0.102350053707784,0.0911935705866087
"22",21.6161616161616,"Tetraneura nigriabdominalis",0.100155108937171,0.105042679109331,0.0944484404544842
"23",21.8686868686869,"Tetraneura nigriabdominalis",0.103155211350884,0.107837163321809,0.097728353578401
"24",22.1212121212121,"Tetraneura nigriabdominalis",0.106132570557112,0.110613396769166,0.100819396993703
"25",22.3737373737374,"Tetraneura nigriabdominalis",0.109095045085574,0.113385839127856,0.103904541335233
"26",22.6262626262626,"Tetraneura nigriabdominalis",0.112049180705743,0.11617855842597,0.107019742671685
"27",22.8787878787879,"Tetraneura nigriabdominalis",0.115000371939884,0.119070540988752,0.110150558331297
"28",23.1313131313131,"Tetraneura nigriabdominalis",0.117952998144369,0.121965486076267,0.113296990996031
"29",23.3838383838384,"Tetraneura nigriabdominalis",0.120910537401879,0.124883407270329,0.116414533071504
"30",23.6363636363636,"Tetraneura nigriabdominalis",0.123875660806332,0.127643018113503,0.119452870208567
"31",23.8888888888889,"Tetraneura nigriabdominalis",0.126850309058406,0.130529009227735,0.122300648746955
"32",24.1414141414141,"Tetraneura nigriabdominalis",0.129835752570068,0.133420600312721,0.125250996164571
"33",24.3939393939394,"Tetraneura nigriabdominalis",0.132832635430431,0.136392439313872,0.12821770468903
"34",24.6464646464646,"Tetraneura nigriabdominalis",0.135841002510441,0.13947135675297,0.131278665139281
"35",24.8989898989899,"Tetraneura nigriabdominalis",0.13886030753248,0.142733047104207,0.134305767880074
"36",25.1515151515152,"Tetraneura nigriabdominalis",0.141889397884801,0.145938831962372,0.137183468742002
"37",25.4040404040404,"Tetraneura nigriabdominalis",0.144926468997004,0.14915825103687,0.140289827733085
"38",25.6565656565657,"Tetraneura nigriabdominalis",0.147968976734732,0.152435629360438,0.143183540842003
"39",25.9090909090909,"Tetraneura nigriabdominalis",0.151013489817553,0.15570524473268,0.146039816266061
"40",26.1616161616162,"Tetraneura nigriabdominalis",0.15405545469238,0.159105240688387,0.148831576300741
"41",26.4141414141414,"Tetraneura nigriabdominalis",0.157088831145064,0.162580585471612,0.151605912983678
"42",26.6666666666667,"Tetraneura nigriabdominalis",0.1601055361761,0.165958323429004,0.154320347394088
"43",26.9191919191919,"Tetraneura nigriabdominalis",0.163094603625447,0.169321761091721,0.156981103608403
"44",27.1717171717172,"Tetraneura nigriabdominalis",0.166040924503867,0.172592209255028,0.159688140246947
"45",27.4242424242424,"Tetraneura nigriabdominalis",0.168923374951272,0.175976095969226,0.162337828811339
"46",27.6767676767677,"Tetraneura nigriabdominalis",0.171712064481939,0.17936873961403,0.164926284601173
"47",27.9292929292929,"Tetraneura nigriabdominalis",0.174364353562346,0.182748045212367,0.167421306335262
"48",28.1818181818182,"Tetraneura nigriabdominalis",0.176819222641099,0.186013471758366,0.169800371428864
"49",28.4343434343434,"Tetraneura nigriabdominalis",0.178989592285673,0.189170565000285,0.171901881402744
"50",28.6868686868687,"Tetraneura nigriabdominalis",0.180752442448243,0.192069098981033,0.173655832761798
"51",28.9393939393939,"Tetraneura nigriabdominalis",0.181937323582071,0.19461744945405,0.174844598684166
"52",29.1919191919192,"Tetraneura nigriabdominalis",0.182315462704222,0.196311444830246,0.175416474527684
"53",29.4444444444444,"Tetraneura nigriabdominalis",0.181594379494988,0.195699878973512,0.175043872600396
